mapping_id,post_type_key,source_field_key,acf_field_name,aggregation_group,aggregation_order,transform_key,guidance_de,enabled
event_map_001,event,verlauf_title,verlauf_h2,,,,,
event_map_002,event,event_highlight,verlauf_text,verlauf_text,10,concatenate_paragraphs,Mit den anderen Verlauf-Feldern zu einem zusammenhängenden Abschnitt verbinden.,
event_map_003,event,event_challenge,verlauf_text,verlauf_text,20,concatenate_paragraphs,Mit den anderen Verlauf-Feldern zu einem zusammenhängenden Abschnitt verbinden.,
event_map_004,event,event_speciality,verlauf_text,verlauf_text,30,concatenate_paragraphs,Mit den anderen Verlauf-Feldern zu einem zusammenhängenden Abschnitt verbinden.,
event_map_005,event,event_atmosphere,verlauf_text,verlauf_text,40,concatenate_paragraphs,Mit den anderen Verlauf-Feldern zu einem zusammenhängenden Abschnitt verbinden.,
event_map_006,event,event_story_h2,event_story_h2,,,,A title for event_story,
event_map_007,event,event_story,event_story,,,,Etwa 70 Wörter.,
event_map_008,event,hero_h2,hero_h2,,,,,
event_map_009,event,hero_intro,hero_intro,,,,Etwa 70 Wörter.,
event_map_010,event,fact_event,fakten,fakten,10,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Event:</strong> {value}</li>,
event_map_011,event,fact_date,fakten,fakten,20,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Date:</strong> {value}</li>,
event_map_012,event,fact_location,fakten,fakten,30,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Location:</strong> {value}</li>,
event_map_013,event,fact_event_type,fakten,fakten,40,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Event Type:</strong> {value}</li>,
event_map_014,event,fact_service,fakten,fakten,50,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Service:</strong> {value}</li>,
event_map_015,event,fact_bar,fakten,fakten,60,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Bar:</strong> {value}</li>,
event_map_016,event,fact_bartender,fakten,fakten,70,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Bartender:</strong> {value}</li>,
event_map_017,event,fact_speciality,fakten,fakten,80,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Speciality:</strong> {value}</li>,
event_map_018,event,fact_focus,fakten,fakten,90,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Focus:</strong> {value}</li>,
event_map_019,event,fact_challenge,fakten,fakten,100,fact_list_item_html,Als HTML-Listenelement ausgeben: <li><strong>Challenge:</strong> {value}</li>,
event_map_020,event,content_h2,content_h2,,,,Aktiv und konkret formulieren.,
event_map_021,event,content_text,content_text,,,,Etwa 350 Wörter.,
event_map_022,event,bartender_tile,bartender_h3,,,,,
event_map_023,event,bartender_text,bartender_text,,,,Etwa 50 bis 80 Wörter.,
event_map_024,event,cta_h2,cta_h2,,,,"Klar, relevant und überzeugend formulieren.",
event_map_025,event,cta_text,cta_text,,,,"Klar, relevant und überzeugend formulieren.",
event_map_026,event,faq_1_question,faq_1_question,,,,,
event_map_027,event,faq_1_answer,faq_1_answer,,,,,
event_map_028,event,faq_2_question,faq_2_question,,,,,
event_map_029,event,faq_2_answer,faq_2_answer,,,,,
event_map_030,event,faq_3_question,faq_3_question,,,,,
event_map_031,event,faq_3_answer,faq_3_answer,,,,,
event_map_032,event,faq_4_question,faq_4_question,,,,,
event_map_033,event,faq_4_answer,faq_4_answer,,,,,
event_map_034,event,faq_5_question,faq_5_question,,,,,
event_map_035,event,faq_5_answer,faq_5_answer,,,,,
event_map_012,event,related_links_html,related_links_html,,,,Interne Links als HTML ausgeben.,
